Name,Brand,Description,Notes,Image URL,Scent
Interlude Black Iris Eau de Parfum,Amouage," Inspired by a 1926 close-up painting of an Iris flower by Georgia O'Keeffe, Interlude Black Iris is a deeply seductive and wickedly clever re-imagining of a regal men's classic. Just as with the original Interlude Man, a initially imposing burst of almost majestically powerful frankincense reveals a wondrously harmonious interior life as it develops; but whereas the original Interlude carried the effusive, spice-laden warmth of the baking desert sun, Black Iris is a dispatch from the inky midnight sky, stars illuminating a mouthwatering smorgasbord of rare delights. The intense aromatic oregano and rosemary of the original is toned down here, leaving the opening relatively cool, sparkling, and wet, which in turn unlocks the narcotic smoothness of buttery orris and violet leaf. Richly smoky agarwood and frankincense still carry their royal splendor, but the base leans more towards sandalwood and cedar, creamy and robust. If Interlude Man is a blinding crown of polished jewels, Interlude Black Iris is a flowing, impossibly soft velvet robe- and what king doesn't need both?"," Bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli, sandalwood, cedar",https://static.luckyscent.com/images/products/41899.jpg?width=400&404=product.png, bergamot
Escale En Haiti Eau De Cologne,Les Indemodables," Perhaps the most classic of all scents, the ""L'eau de Cologne"" style stays perpetually in fashion because of its wonderful simplicity. Featuring a lighter concentration that puts its emphasis on freshness and wearability, an EDC can actually be an ideal format to showcase exquisite natural materials in high concentrations that might feel overwhelming as part of a richer, more busy perfume. With Escale En Haiti, Les Indemodables transports us to the bustling and beautiful Les Cayes region of Haiti, and their signature crop- vetiver, considered by many to be the best in all the world. Les Cayes vetiver is renowned for its richness and depth- allowed to mature beneath the soil for up to 2 years before harvesting, it develops uniquely bright, sweet citrus tones in addition to the expected earthy and woody properties. And for Escale En Haiti, Les Indemodables uses a 22% concentration of the absolute finest vetiver Les Cayes has to offer: a ""Grand Cru"" distillation hand-selected from unique terroir, carefully root-harvested, and painstakingly distilled at atmospheric pressure, a slower and more expensive process that provides a richer, longer-lasting extract. The results are a stunning natural vetiver cologne with real depth, each ingredient carefully chosen to highlight an element of the extraordinary main ingredient. Electric pink pepper from Reunion Island and aromatic juniper oil from Macedonia bring a spicy, fresh burst, while rich Venezuelan tonka and Somalian myrrh essential oil add a touch of creamy, powdered elegance to the subtle but long-lasting base. Vetiver lovers looking for both freshness and disctinction- this is one you won't want to miss."," Pink pepper, juniper, Haitian vetiver, tonka bean, myrhh",https://static.luckyscent.com/images/products/827008.jpg?width=400&404=product.png, pink pepper
Escale En Indonesie Eau De Cologne,Les Indemodables," Perhaps the most classic of all scents, the ""L'eau de Cologne"" style stays perpetually in fashion because of its wonderful simplicity. Featuring a lighter concentration that puts its emphasis on freshness and wearability, an EDC can actually be an ideal format to showcase exquisite natural materials in high concentrations that might feel overwhelming as part of a richer, more busy perfume. With Escale En Indonesie, Les Indemodables has chosen to showcase a spectacular specimen of one of the most precious materials in all of perfumery- ambergris. Recovered from the paradise of Sumatra, Indonesia, this top-graded white ambergris was painstakingly distilled into a ""Grand Cru"" tincture, broken down with state-of-the-art ultrasound and then carefully tinctured for over six months to achieve a sublime level of complexity. Every possible facet of this fabled material- vivid ozonic tones, sensual animalics, and electric saltiness- are fully presented, delivering a depth and longevity that are rare for an eau de cologne. And a suite of carefully chosen complementary notes add more EDC freshness- a sunny sparkle of Calabrian bergamot and Sicilian lemon combine with a green, floral freshness from Moroccan neroli oil. Each note teases out even more complexity from the ambergris, which feels as bright and refreshing as the citrus opening but soon gains creamy, seductive tonality from a smooth jasmine and sandalwood base. Don't worry if this sounds a bit heavy for an EDC, as it's delivered with a wonderfully light touch that makes it oh so wearable. But if you've ever wanted a scent that harnessed the true power of ambergris while also maintaining delightful everyday wearability, don't let this hidden gem pass you by."," Bergamot, lemon, neroli, Indonesian ambergris, jasmine, sandalwood",https://static.luckyscent.com/images/products/827009.jpg?width=400&404=product.png, bergamot
Zeste de Gingembre Eau de Parfum,HEELEY," A mouthwateringly electric cocktail of pure ginger refreshment, Zeste de Gingembre is the best showcase yet of James Heeley's talent for creating sophisticated fresh scents that truly energize and delight. There's nothing over-complicated about the structure here- Zeste opens with, appropriately, an eye-poppingly vivid burst of orange zest, sharp, bright lemon, and crisp, tart lime. The heart of fresh ginger is even more straightforward- a crackling fireball of invigorating, nose-tickling spice with a subtle twist of sweetness that leads into a pink pepper and cardamom base that weaves gourmand, aromatic, clean, and woodsy aspects all together in a lingering and increasingly smooth experience. The best fresh scents from Heeley carry truly unforgettable olfactory signatures- the minty pop of Menthe Fraiche, the salty tang of Sel Marin; the intoxicating burn of Zeste de Gingembre places it firmly in that rarefied company."," Lemon, lime, orange zest, fresh ginger, pink pepper, cardamom",https://static.luckyscent.com/images/products/31528.jpg?width=400&404=product.png, lemon
Haute Provence Eau de Parfum,Parle Moi de Parfum," The Provence region of France is known for both bucolic beauty- think rolling fields of purple lavender- and also for the glamorous, sun-drenched good life of Riviera enclaves like Saint-Tropez. With Haute Provence, Parle Moi de Parfum delivers a summer-perfect ode to this slice of paradise, a bright, refreshing, seductively smooth lavender scent that's as head-turningly stylish as it is easy to wear. Provencal Lavender is the undeniable star, sharp yet smooth, with a gently aromatic sophistication that places it in an entirely different tier above ordinary, astringent examples of the note. And it meets the perfect complement with a delightfully juicy cocktail of watermelon and green melon, bursting with the sunshine and ocean zest of the Mediterranean coastline. Narcissus adds a bewitching and wild touch of green that lingers stylishly with wonderful floral depth. Summer in Provence is an unforgettable pleasure, and with Haute Provence, you can bring that pleasure with you, anytime and anywhere."," lavender, melon, watermelon, narcissus",https://static.luckyscent.com/images/products/767015.jpg?width=400&404=product.png, lavender
Smoke Show Eau de Parfum,Vilhelm Parfumerie," The Jazz Soul. Vibrant spotlights, smoky rooms, the brassy notes of a saxophone: an evocative cocktail brings alive the energetic soul of a musical genre that broke boundaries and hearts. Leather and rose take center stage with bass notes of agarwood, vetiver and saffron. What We Think Crisp, energetic, and sexy, this is a fun and frisky leather scent for a night out on the town."," pink pepper, saffron, rose oil, leather, vetiver, cedarwood, agarwood",https://static.luckyscent.com/images/products/858000.jpg?width=400&404=product.png, pink pepper
Do Not Disturb Eau de Parfum,Vilhelm Parfumerie," Deep in the basement of Studio 54, a place with no boundaries and a Do Not Disturb sign on the door  some say it was never taken off! Rumor has it that Freddy Mercury, David Bowie, Halston, and Grace Jones were spotted here. The only certainty: those who dared to enter found a wonderland! What We Think Freshly musky, spicy, and sparkling, with an unexpected touch of sweetness, Do Not Disturb feels like a dizzy, giddy, possibly illicit romp."," pink pepper, carrot, iris, jasmine petals, ambroxan, patchouli, white musks",https://static.luckyscent.com/images/products/858001.jpg?width=400&404=product.png, pink pepper
Morning Chess Eau de Parfum,Vilhelm Parfumerie," Swedish summers. Bright endless mornings in a cottage, minds battling in wit over a chessboard: the memories of a grandfather's checkmate. The ripe, green lushness of summer on the Swedish coast, where grassy notes are light enough to hint at the evergreen sharpness of the distant winter air. What We Think Fresh, green, and a touch wild- a leather with a comfortably natural streak."," bergamot, Tuscan leather, galbanum, patchouli, black amber",https://static.luckyscent.com/images/products/858006.jpg?width=400&404=product.png, bergamot
Dear Polly Eau de Parfum,Vilhelm Parfumerie," Distance is nothing to the heart: The scent of black tea, brewed just how she likes it, and the crispiness of morning light, slowly easing away the night that still clings to the senses. Ceylon black tea immediately warms the skin while sensuous musk simmers below."," bergamot, apple, ceylon black tea, oakmoss, musk, black amber",https://static.luckyscent.com/images/products/858008.jpg?width=400&404=product.png, bergamot
Black Citrus Eau de Parfum,Vilhelm Parfumerie," The triumph of London rain. A sudden shower cooling the air: the romantic smell of London after a rainsquall when water has washed away frivolity, leaving only a zesty and triumphant breeze with a soft echo of the storm. The strength of bergamot, cardamom and violet is tempered by birch tree and a dusting of patchouli. What We Think Spicy, fresh, invigorating citrus with an intriguingly modern profile from the mate and violet heart."," cardamom, calabria bergamot, mate leaves, violet, birch, Indonesian patchouli",https://static.luckyscent.com/images/products/858009.jpg?width=400&404=product.png, cardamom
Lil Fleur Eau de Parfum,BYREDO," With the swirl of emotions that dominate our teenage years- the joys and heartbreaks, the aspirations and fears, it's no wonder that our memories of those heady times will always be among our most intense and indelible. Lil Fleur is a fragrance dedicated to the complexity of adolescence, a lush and beautiful rose scent perched between innocence and sensuality, with all the occasionally bitter sweetness contained therein. At the heart of Lil Fleur is a beautiful Damascena Rose, sparkling, crisp, and tantalizingly sweet. Top notes of cassis and tangerine add to the incandescence, while a smooth, mouthwatering note of saffron glows with the warmth of nostalgia. A romantic and gourmand base is composed of creamy vanilla and a sexy, grown-up touch of blonde, ambered woods, marking Lil Fleur with an unpretentious sophistication that makes it the perfect choice for rose lovers of all ages. A true encapsulation of the complicated and beautiful spirit of youth, Lil Fleur is a bright, warm, enchanting gem of a scent."," Saffron, cassis, tangerine, leather, Damascena rose, amber, blonde woods, vanilla",https://static.luckyscent.com/images/products/641207.jpg?width=400&404=product.png, saffron
Kurokami Parfum,Di Ser," This perfume represents the essence of Japanese aesthetics. A sleek and polished beauty that conjures up the sheen and well-groomed elegance of meticulously brushed hair. Indeed, Kurokami is Japanese for black hair. This is a fascinating floral fragrance filled with the refinement of Jasmine and Rose. A fragrance that exudes grace and sophistication."," Grapefruit, Rose absolute, Rose otto, Jasmine grandiflorum, Rosewood, Sandalwood, Frankincense",https://static.luckyscent.com/images/products/788010.jpg?width=400&404=product.png, grapefruit
Young Hearts Eau de Parfum,Bruno Acampora," Dewy, fresh, green and peculiar, Young Hearts follows a different rhythm everytime you try it. The opening is woody and green, fresh and very natural with the invigorating notes of bergamot, galbanum, birch and pine. A cold breeze is brought by saffron, which imparts also a leathery impression. The heart elongates the foresty smell of pine with fir balsam, along with a rather abstract floral arrangement. To make it grounded, there is a chypre accord that keeps the beat cool, with a timeless signature."," Bergamot, galbanum, birch leaf, pine, saffron, jasmine, fir balsam, rose, oakmoss, patchouli, musk, amber",https://static.luckyscent.com/images/products/375041.jpg?width=400&404=product.png, bergamot
Eau de Yuzu Eau de Toilette,PARFUMS DE NICOLAI," An authentic Japanese garden glows with the harmony of natural beauty and expert craftsmanship. It is an all-too-rare demonstration of how human precision and effort can be used to augment nature, rather than replace it, and as a result it achieves a perfection that transcends the division between the manmade and the wild. Eau de Yuzu captures the purity of the morning sun illuminating a sublimely sculpted garden of native Japanese flora, with a vibrantly juicy citrus chord at the center. This is yuzu in all its delectable fullness, with a supplemental note of bright yellow grapefruit only deepening the tart, bright, gently sweet hesperidic character. Aromatic notes of juniper and lemon leaf further increase the naturalistic freshness, while the clean, smooth warmth of gaiac wood evokes the presence of minimal, immaculate woodwork giving form to the garden's edges. And ultimately, a woodsy, earthy patchouli ties everything together, reminding us that the larger world around the garden is still ruled by nature first, and humankind second. Fresh, bright, meditative, and deeply plasurable, Eau de Yuzu is a masterful citrus scent."," Yuzu, lemon leaf, juniper, grapefruit, gaiac, patchouli",https://static.luckyscent.com/images/products/313062.jpg?width=400&404=product.png, yuzu
Creme de Cuir Eau de Parfum,BDK Parfums," An intoxicating elixir that is a pure representation of contemporary sensuality. This perfume captures the Indian summer, when the hot days are over and the sweet freshness of the evening begins to fall. The perfume transforms like the gauzy forms of a Rothko painting, shapes suspended in space and vibrating with soothing energy. The leather is stripped down made soft and creamy. The green notes passionately embraces the musk, while the bergamot push to the skies of Italy."," Mandarin, Bergamot, Pineapple, Pink berries, White suede, Sandalwood, Vanilla, Birch oil, White musk, Grey musk",https://static.luckyscent.com/images/products/856008.jpg?width=400&404=product.png, mandarin
Pas Ce Soir Eau de Parfum,BDK Parfums," Just like every night, Madam is getting ready in her office. She won't have time to go back home. She freshens up, touches her make-up: red velour lipstick, sometimes Bordeaux depending on her mood. She brushes her hair and takes her necklace out from her purse. Her white shirt slightly open highlights her inviting curves. She adds a bit more black to her eyes. She slams the front door as her heels strides on the sidewalk. Just like every Thursdays, she's going to the cabaret Place de la Concorde. Madam has high hopes like every night. She likes people; she loves life. She finds a stool at the bar and orders a whiskey with ice before lighting her cigarette. In the darkness, she makes out a silhouette in front of her. She turns to the side. It's him. It's always him. Their paths often cross but they never speak. She smiles, gets up and goes dancing. Alone. Men line up for her attention, she politely replies. Madam is chic, she responds. Close to 2am, a dandy looking man catches her eyes and invites her to dance. She abides but only for a short period, she leans in says she has to go home. She likes him but the morning is soon approaching. She leaves after whispering these words in his ear... ""Not tonight"""," Black pepper, Ginger, Mandarin, Moroccan jasmine, Quince chutney, Orange blossom, Cashmeran, Patchouli of Singapore, Amber wood",https://static.luckyscent.com/images/products/856001.jpg?width=400&404=product.png, black pepper
Black Beard Extrait de Parfum,CALAJ Perfumes," What comes to mind when you hear about pirates? Strong, brave, devoted men... true examples of masculinity. Black Beard is not a perfume dedicated to pirates but to what these men represented, pure testosterone. Classic, elegant, bold.Limited edition - 100 bottles What We Think Led by an intense lavender-and-herbs heart that's both fiercely masculine and also intriguingly mouthwatering, backed with a rich & earthy tobacco base, Black Beard is an intense, rich scent for those who dare to stand out."," Orange, bergamot, petitgrain, artemisia, basil, bulgarian lavender, geranium, rose, carnation, tonka bean, patchouli, moss, musk, leather, tabacco, amber",https://static.luckyscent.com/images/products/857000.jpg?width=400&404=product.png, orange
Love Toxin Extrait de Parfum,CALAJ Perfumes," From ancient times, people were curious to discover the philosophical stone and the magic potion of love, we read about their attempts in all stories, legends and history books. Even if they are just a myth, something must be true. I am convinced that there has been evidence that has convinced people. What if it wasn't magic? What if the potion of love was real? If they found a combination of scents, a secret formula of herbal oils that they put together had the effect of poisoning you. It seems plausible that when you fall in love, you seem to float, you are in your own world, everything is pink and beautiful as if only you two existed on earth. This is Love Toxin..."," Bergamot, coriander, plum, coconut, strawberry, rose oxyde, Cumin, rose, tuberose, jasmin, heliotrope, gardenia, iris, Peach, oakmoss, vanilla, hay, castoreum, opoponax, musk, leather",https://static.luckyscent.com/images/products/857002.jpg?width=400&404=product.png, bergamot
Oshun Extrait de Parfum,CALAJ Perfumes," Revered for her sensuality, beauty, love and fertility, Oshun, the Love goddess of the Yoruba people, was known to be generous and kind goddess with a touch of hidden tempestuous temper which rarely come to the surface.Oshun is a dualistic perfume: One part sensual, tender, sexy and another part, strong and determined. What We Think Sweet, fresh, bright, and floral when it goes on, Oshun reveals a sensual, intense animalic side with warm, balsamic amber."," Lemon,  cinnamon, black pepper,  pine,  black currant,  Rose,  jasmine,  magnolia,  cloves,  Amber,  castoreum,  peru balsam,  tonka bean,  tobacco.",https://static.luckyscent.com/images/products/857003.jpg?width=400&404=product.png, lemon
Isra & Miraj Eau de Parfum,Stephane Humbert Lucas 777," To celebrate the 7 year anniversary of the 777 collection, Stephane Humbert Lucas Paris reconnects with its original inspiration and emphasizes on spirituality and wonders of the East.Isra & Miraj, sublime story of the Orient, tells of a voyage under the moonlight and an ascension to the 7th sky. This fragrance is the interpretation of a spiritual journey of hope, peace and fulfillment. An absolute quest wherein, sky after sky, the most precious raw materials are layered to create a perfume that is nothing short of perfection.An intense sensual amber dressed up in a magnetic heliotrope take center stage as the white and brown musks start to create a mesmerizing aura that hovers over the skin. Natural oud infuses the fragrance with an enchanting woody and animalic richness that is absolutely heavenly. A meticulous work of olfactive art to that demonstrates this French house's mastery. One whiff of this and you'll agree, Stephane Humbert Lucas has never been more on top of his game."," Bergamot, Tangerine, Nutmeg, Ceylan, Cinnamon, Heliotrope, Osmanthus absolute, Vanilla, Santal de Mysore, Amber, Patchouli, White Musk, Leather, Natural Oud",https://static.luckyscent.com/images/products/655016.jpg?width=400&404=product.png, bergamot
La Danza delle Libellule Eau de Parfum,Nobile 1942," Since when did Italian fragrance become such a serious endeavor? We have to admit,  we've been feeling a bit lost lately amongst all these challenging,  avant-garde conceptual pieces- every now and again,  don't you just want to wear something unapologetically luxurious? La Danza Delle Libellule (the dance of the dragonflies, ),  a joyously self-assured fruity gourmand,  is the answer to our casual,  indulgent,  dare-we-say-girly? prayers. Based on an operetta by the Austrian composer Franz Lehar,  it's the kind bold,  beautiful,  and unapologetically feminine scent that's sure to conjure up fantasies of majestic castles and storybook romance to charm even the most jaded fragrance fan.Like the delicately beautiful insects that inspired Lehar in the first place,  La Danza Della Libellule delights us with its playful grace. Opening with an intensely juicy burst of apple and bergamot,  La Danza immediately distinguishes itself from more straightforward gourmands with its understated approach to sweetness: dry cedar and rich cinnamon give contrast to the bright fruitiness without ever getting sugary or cloying. A pure vanilla,  supported with cocoa and musk,  comforts and pampers to soothe even the most troubled heart. We wear fragrance for plenty of reasons: for love,  for fashion,  for art. This fragrance,  we just want to wear for ourselves."," Bergamot, red apple, cedar, cinnamon, musk, vanilla and coconut.",https://static.luckyscent.com/images/products/52310.jpg?width=400&404=product.png, bergamot
Magnolia Grandiflora - Michel Eau de Parfum,Grandiflora," Michel Roudnitska's expressive, sensuous compositions are few and far between. An accomplished photographer and fervent traveler, he has all but given up commercial perfumery to dedicate himself to other pursuits. But when he met Saskia Havekes, a renowned Australian floral designer, he offered her  and perfume lovers  a priceless gift: the formula of a magnolia fragrance inspired by the magnolia tree in his parents', now his, garden near Grasse. The scent he had worked on for his own pleasure had found a home at Grandiflora.Magnolia Grandiflora Michel is part of a pair of fragrances, both dedicated to Grandiflora's namesake blossom. An unusual debut for a fledgling brand, but a vibrant, emotional tribute to the story behind the scents, since the other magnolia was composed by the late Sandrine Videault, whose mentors were Michel's parents Edmond and ThÃ©rÃ¨se Roudnitska.While Sandrine's magnolia is fresh and shimmering, Michel's interpretation expresses the flower in its full bloom, with its lush waxy petals. As spectacular as a blossom-heavy magnolia tree, with a dark woody undercurrent boosting the heady floral bouquet. An exceptional and truly special offering."," Lemon, bergamot, grapefruit, jasmine, ylang-ylang, rose, magnolia, vetiver, patchouli and musk",https://static.luckyscent.com/images/products/64200.jpg?width=400&404=product.png, lemon
Tahiti Vanilla Parfum,Farmacia SS. Annunziata dal 1561," The island of Tahiti and its scents captured in an intertwining blend of sweet notes. Flamboyant landscapes formed by millions of corals with the most unusual hues. Hibiscus flowers, dancers in straw skirts, a warm breeze on the turquoise sea. The Vanilla of Tahiti softly caresses a tender heart full of flowers. A citrusy and aromatic head of bergamot, lime, sage and rosemary. A flowered heart of jasmine, neroli, mimosa and ylang-ylang and a woody and amber base of patchouly, sandalwood and vetiver."," Bergamot, Key Lime, Sage, Rosemary, Tahitian Vanilla, Jasmine, Neroli, Mimosa, Ylang Ylang, Patchouly, Sandalwood, Vetiver",https://static.luckyscent.com/images/products/440027.jpg?width=400&404=product.png, bergamot
Douleur! Eau de Parfum,Bogue Profumo,"Nail biting sweetness - caramel and candy in metallic wrap. A rose hologram above chewy balsamics sit on a lick of hot skin and wax. DOULEUR! - an oxidized roseDouleur means ""pain, "" which is a seemingly appropriate name for a fragrance created in collaboration with UK tattoo artist and bondage master Freddie Albrighton. But fear not- Douleur understands the intersection of pleasure and pain,  and this uniquely bright,  sweet,  minty metallic rose is as utterly compelling as it is unexpected,  blending modern and gothic influences to feel both wholly Bogue,  and yet also like a departure from Gardoni's typical vintage-influenced animalic florals. Sexy and fresh with a provocative twist,  Douleur is a unforgettable ride."," Mint, cotton candy, seaweed, benzoin, melon, metallic notes, rose",https://static.luckyscent.com/images/products/66933.jpg?width=400&404=product.png, mint
New York Eau de Parfum,Widian," New York City in the spring may be the most magical place in the world. For once a year, the electric bustle of the city is balanced with delightfully mild temperatures, gentle sunshine, and a fresh breeze that draws even the most cynical citydwellers out into New York's beautiful and far-flung public spaces, now teeming with the energy of new life. This is the inspiration for New York, the latest in Widian's tribute to the great cities, an explosion of bright citrus, spicy florals, and musky woods that positively vibrates with the extraordinary dynamism of the Big Apple. All the energy of a New York spring is present from the very first spray, as New York bursts forth with sun-soaked notes of lemon, bergamot, and mandarin, kissed with a burst of pink pepper. The spicy, aromatic bouquet only grows richer in the romantic heart notes, as striking floral notes of lavender, geranium and rose are combined with coriander and juniper, conjuring a lusciously fresh and deeply sensual tone. And as the smooth, ambered base of tobacco, musk, and never-too-heavy vanilla emerges, you can practically feel the sun setting, and a nighttime of endless possibilities on the horizon. It's just another perfect spring day in the greatest city in the world."," Bergamot, mandarin, lemon, pink pepper, lavender, coriander, juniper, geranium, orris, rose, akigala, jasmine, patchouli, caramel, vetiver, cypriol, white musk, white amber, vanilla, ambergris, olibanum, tonka, tobacco",https://static.luckyscent.com/images/products/709015.jpg?width=400&404=product.png, bergamot
